-0.0021864,-0.0026061
0.00043307,0.00051622
0.019319,0.022998
-5.1781,2.7431
-0.88172,3.1184
0.00062725,0.00074767
-1.3372,7.2749
-0.0023417,-0.0027912
-4.988,-3.7111
-11.04,-4.4332
0.00069572,0.00082929
6.7629,-4.0473
-3.4236,3.7886
-6.6412,1.3101
-0.00071682,-0.00085444
-7.3429,-0.57774
-5.586,-5.9488
-8.6651,10.07
0.1077,0.12456
-0.00015165,-0.00018076
-3.0316,-9.8504
4.9706,9.4866
-0.0047089,-0.0056125
0.0015403,0.001836
0.0029869,0.0035602
0.0061075,0.0072791
-0.24882,9.8864
-7.5325,3.4635
0.00061819,0.00073688
0.003925,0.0046783
